id,start_node,end_node,lbl,source_idx,target_idx,label_encoded
E_baea41ef-a4a6-54b8-afa2-e96a1f9e19a8,SENSORDATA_d20cacf8-a4f7-5593-a6e4-256840de8847,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_6135a13d-579d-5c21-b9c7-f6611cab7296,SENSORDATA_8cb19054-4215-5c58-82a1-0d5cacc90a2e,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_55ccc6b7-3ec0-5263-a13e-9eaa5544fcb3,SENSORDATA_567be274-f348-5aed-b279-4db507089126,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_836f13b3-4ed4-5e02-b8e1-f03a0ad292f7,SENSORDATA_72591c58-28a7-56e2-92ae-e70a3f4b1940,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_31ed5b9b-e6a3-5ee3-b095-47ece53a12f0,SENSORDATA_dc058ba9-5284-52e4-a0f3-34a3750a4073,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_29d7bc05-7699-59bd-b482-29f5d34a3420,SENSORDATA_6b95e75b-13b1-5137-90d6-afad6d74192f,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_80d8c29e-5a8f-595c-9996-c663c9e0dd45,SENSORDATA_1863e866-8416-57bb-80b0-c705856f6666,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_ce0f96ea-42ac-5078-9988-27c3efa0c93e,SENSORDATA_12127fcd-053a-57fd-b4f3-a8d68293140b,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_4d0596e2-0ed0-5c22-b54e-933c4bb5bda4,SENSORDATA_0206c5b5-5476-5e7b-a5f5-2e6677fb7170,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_9a00463a-ffeb-5565-8f1b-a20e76b8031a,SENSORDATA_15fea75a-aaf6-5f99-bf7d-ae03759966d6,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_4e7a21ba-785b-5027-a4ac-f6aaaab43004,SENSORDATA_7117282c-337c-5109-829e-a2d9adac4825,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_49f98cd5-b00b-5569-8a82-fb44419eb8fd,SENSORDATA_c05b643a-a6eb-5ffe-b005-cafe14badedb,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_678dbd2d-2578-5a1f-8611-37bedbfc8fb1,SENSORDATA_d4051fbb-0909-5fee-b213-fc41cfddbf0d,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_196f6f60-50aa-58e0-bf1e-3367206d510c,SENSORDATA_41b5511c-4ddd-5dff-a2dc-61de7983a7e3,PLANT_580b5c4d-933a-4b01-9b16-6ca2f81a3a1a,MEASURES,,,1
E_e717e4a9-7e25-5d21-a0a0-286c46f7dba1,SENSORDATA_3c8077c0-ebee-52df-9367-74b745476321,PLANT_4b96479b-1c1a-4a83-8564-0fd714171518,MEASURES,,,1
E_65d1b106-aeff-5deb-bfe6-ab49dbed8a17,SENSORDATA_5310090f-611e-53b6-9bae-830d68757a19,PLANT_4b96479b-1c1a-4a83-8564-0fd714171518,MEASURES,,,1
